1476	2964	2167	1585	1254	785	607	469	538	662	667	1127
1908	1898	1534	868	673	632	473	393	388	521	573	1474
1330	726	696	610	441	356	329	325	295	411	295	692
1210	699	752	480	333	276	240	204	247	272	320	1285
1846	2584	1547	1334	909	674	554	468	436	619	527	661
594	662	1812	942	626	436	365	352	445	351	601	1302
2600	1589	1112	832	836	620	456	364	307	819	997	2343
1899	1646	1445	952	850	637	508	481	481	793	914	1647
2089	1999	1063	957	728	559	483	398	351	398	606	1356
2018	2425	2077	1144	824	637	513	408	382	464	1043	1554
1710	1005	973	794	508	458	456	334	607	666	704	1307
1309	1244	1863	1033	768	637	546	419	390	540	858	1231
2727	2198	2057	1132	826	680	554	495	442	648	657	1094
1003	1521	1631	915	618	495	422	347	293	340	508	671
875	1978	1208	995	628	553	500	349	314	349	765	1585
3201	1310	1467	1152	756	627	548	430	335	516	690	749
1775	1840	3757	1677	1034	804	699	548	814	627	714	1331
1503	1721	1826	1075	769	668	480	419	349	385	765	1263
1682	2221	1327	951	757	618	467	385	337	399	716	1153
1559	2519	1581	1185	852	655	592	496	428	485	1059	1649
1568	1994	1806	1276	899	700	557	476	388	432	377	761
1214	1881	2356	1386	770	706	507	406	404	382	661	791
605	680	839	1040	509	409	354	303	307	330	513	813
743	1261	666	661	632	450	328	273	222	299	420	593
1186	722	913	665	417	380	280	232	248	284	417	1163
1103	712	1184	597	564	532	399	430	352	310	416	1165
1605	1475	1663	1548	952	681	587	465	620	437	784	1202
955	1535	1249	897	894	752	638	480	585	662	711	847
1815	1408	1250	1094	693	581	497	465	401	428	668	780
1564	1646	2119	999	859	651	638	508	397	428	548	1311
2747	2902	2754	1457	1223	841	676	571	506	426	636	772
1300	2389	1573	944	796	696	534	472	464	695	833	1454
1723	1489	994	640	524	442	399	347	297	369	507	334
1453	1954	823	752	611	469	378	258	225	531	742	1255
2464	3125	2523	1321	1438	1062	947	777	641	973	1188	1869
3033	2092	2679	1450	1034	726	581	486	484	805	1343	1856
3014	2594	1916	1168	880	763	624	546	503	523	1080	1303
1656	988	959	612	471	409	358	367	363	453	390	1337
1171	1193	966	636	413	436	338	313	214	478	1241	1143
1412	1280	1321	761	534	446	430	347	614	527	827	555
612	357	477	401	310	365	309	218	232	470	533	1546
1319	1776	1623	892	596	469	618	442	384	694	1132	1290
1587	1428	920	1133	662	502	438	380	333	486	739	1409
1830	1064	1544	1118	673	661	512	405	314	411	394	1095
1460	1555	871	704	502	380	414	261	241	456	987	1196
958	1143	1266	962	775	753	784	744	1068	917	1373	1915
1986	1616	1193	1189	698	596	467	363	583	420	832	1449
1919	1268	1224	756	707	699	495	372	354	494	892	1100
1385	2413	1422	963	808	642	578	552	733	527	946	1651
2690	1929	1121	1709	915	784	674	487	492	459	824	1762
2713	1297	1216	917	698	704	504	469	355	819	1325	2333
2417	1820	2845	1651	1061	952	760	627	488	769	798	2073
3506	3230	3046	2327	1572	2303	1308	921	1889	1822	1989	3123
2192	1315	994	914	861	577	466	482	547	424	631	1326
2594	2210	2434	1343	881	680	565	476	503	470	759	1036
1716	1540	1365	806	833	555	565	590	369	294	343	1700
1945	1757	1209	1232	838	703	548	434	573	459	590	1345
1303	1788	1421	843	713	645	435	384	321	563	655	810
1795	1580	1619	893	596	553	487	476	487	437	512	1128
1364	639	1086	723	630	428	432	405	462	443	384	591
1926	1981	1764	1915	1032	677	579	425	390	666	458	809
2875	2406	1408	1052	1003	614	597	448	695	796	1298	1188
1301	1938	1512	1103	717	727	502	435	457	566	437	705
1927	845	1224	775	868	563	458	352	273	306	460	1062
924	2788	1193	998	741	532	471	311	273	637	617	988
1928	1231	1431	829	664	499	442	389	681	518	1455	1736
3621	1824	1498	1066	765	863	578	437	405	502	715	1185
1191	1248	965	676	571	513	362	360	260	501	525	1010
1681	1410	1545	754	531	502	400	278	290	210	335	796
2248	1817	1376	811	540	493	419	380	558	302	703	1013
896	713	628	494	374	294	250	217	272	400	567	1029
1240	1982	1147	641	512	420	381	308	354	222	549	998
1882	1396	1072	718	531	394	385	271	261	302	433	916
1252	1614	1326	1048	761	692	564	386	294	483	520	1526
2239	1713	1541	874	950	676	561	416	477	392	721	1352
1114	1161	1377	673	495	425	362	283	325	472	671	1268
3364	2146	948	746	601	527	463	354	241	294	647	880
1092	1737	1758	1448	771	624	460	433	418	477	866	1558
2028	2485	1619	1643	843	696	630	525	705	828	658	1813
1811	1026	1268	807	579	478	426	301	284	455	861	1512
2959	1087	1931	1063	698	628	488	388	298	459	515	1648
2628	1225	910	724	675	740	508	340	262	253	435	665
